layout,size,full_candidate_train_voxel_count,candidate_token_count,inline_lines,crossline_lines
layout_000,small,1377214,21546,[50],[20]
layout_000,medium,2752416,42840,"[50, 250]","[20, 120]"
layout_000,large,5496784,84672,"[50, 250, 490, 690]","[20, 120, 260, 380]"
layout_001,small,1377214,21546,[290],[140]
layout_001,medium,2752416,42840,"[290, 520]","[140, 270]"
layout_001,large,5496784,84672,"[290, 520, 700, 90]","[140, 270, 390, 40]"
layout_002,small,1377214,21546,[550],[280]
layout_002,medium,2752416,42840,"[550, 710]","[280, 400]"
layout_002,large,5496784,84672,"[550, 710, 130, 400]","[280, 400, 60, 160]"
layout_003,small,1377214,21546,[720],[405]
layout_003,medium,2752416,42840,"[720, 170]","[405, 80]"
layout_003,large,5496784,84672,"[720, 170, 430, 580]","[405, 80, 240, 290]"
layout_004,small,1377214,21546,[210],[100]
layout_004,medium,2752416,42840,"[210, 460]","[100, 250]"
layout_004,large,5496784,84672,"[210, 460, 610, 730]","[100, 250, 300, 410]"
