condition_id,dataset,task,layout_id,data_size,primary_metric,primary_value,secondary_metric,secondary_value
1,f3,lithology facies classification,layout_000,small,mean_iou_unique_validation_voxels,0.50017883233286486,macro_f1_unique_validation_voxels,0.63699096396682464
1,f3,lithology facies classification,layout_000,medium,mean_iou_unique_validation_voxels,0.58092822608704175,macro_f1_unique_validation_voxels,0.71007888312405365
1,f3,lithology facies classification,layout_000,large,mean_iou_unique_validation_voxels,0.67506865785126113,macro_f1_unique_validation_voxels,0.77852811404314382
1,f3,lithology facies classification,layout_001,small,mean_iou_unique_validation_voxels,0.42851177609477231,macro_f1_unique_validation_voxels,0.54747191693069086
1,f3,lithology facies classification,layout_001,medium,mean_iou_unique_validation_voxels,0.45738963140509709,macro_f1_unique_validation_voxels,0.57073203019516294
1,f3,lithology facies classification,layout_001,large,mean_iou_unique_validation_voxels,0.68254015170722493,macro_f1_unique_validation_voxels,0.7939423274636157
1,f3,lithology facies classification,layout_002,small,mean_iou_unique_validation_voxels,0.47320657105268199,macro_f1_unique_validation_voxels,0.6013763849339373
1,f3,lithology facies classification,layout_002,medium,mean_iou_unique_validation_voxels,0.53938277367829401,macro_f1_unique_validation_voxels,0.65798684866829327
1,f3,lithology facies classification,layout_002,large,mean_iou_unique_validation_voxels,0.63996388118585379,macro_f1_unique_validation_voxels,0.75230899709465637
1,f3,lithology facies classification,layout_003,small,mean_iou_unique_validation_voxels,0.50234973415306505,macro_f1_unique_validation_voxels,0.63736514971390834
1,f3,lithology facies classification,layout_003,medium,mean_iou_unique_validation_voxels,0.5613055472884847,macro_f1_unique_validation_voxels,0.69810937921056515
1,f3,lithology facies classification,layout_003,large,mean_iou_unique_validation_voxels,0.6557017262565733,macro_f1_unique_validation_voxels,0.77105637909240521
1,f3,lithology facies classification,layout_004,small,mean_iou_unique_validation_voxels,0.44137738049547165,macro_f1_unique_validation_voxels,0.55951249733763453
1,f3,lithology facies classification,layout_004,medium,mean_iou_unique_validation_voxels,0.52582468202779797,macro_f1_unique_validation_voxels,0.64522719169329046
1,f3,lithology facies classification,layout_004,large,mean_iou_unique_validation_voxels,0.63236495373982704,macro_f1_unique_validation_voxels,0.74616334159360564
2a,f3,lithology facies classification,layout_000,small,mean_iou_unique_validation_voxels,0.54229985781563073,macro_f1_unique_validation_voxels,0.66818735584899092
2a,f3,lithology facies classification,layout_000,medium,mean_iou_unique_validation_voxels,0.61105221800044951,macro_f1_unique_validation_voxels,0.73135755211298159
2a,f3,lithology facies classification,layout_000,large,mean_iou_unique_validation_voxels,0.67456277416463839,macro_f1_unique_validation_voxels,0.78631404617440304
2a,f3,lithology facies classification,layout_001,small,mean_iou_unique_validation_voxels,0.4325066903910959,macro_f1_unique_validation_voxels,0.55469598214462035
2a,f3,lithology facies classification,layout_001,medium,mean_iou_unique_validation_voxels,0.49314976882138106,macro_f1_unique_validation_voxels,0.61448224405437912
2a,f3,lithology facies classification,layout_001,large,mean_iou_unique_validation_voxels,0.6774661403117177,macro_f1_unique_validation_voxels,0.79107191266912691
2a,f3,lithology facies classification,layout_002,small,mean_iou_unique_validation_voxels,0.50312081830920008,macro_f1_unique_validation_voxels,0.62700039624272108
2a,f3,lithology facies classification,layout_002,medium,mean_iou_unique_validation_voxels,0.56073237791873309,macro_f1_unique_validation_voxels,0.67865620549401706
